date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:42	14594/14594	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-3902%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:43	95046/95046	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-17346%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:43	40248/40248	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-9d38%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:43	22293/22293	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-5715%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:43	2183500/2183500	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-21514c%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.dataTables.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.dataTables.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:44	16780/16780	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-418c%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jasny-bootstrap.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jasny-bootstrap.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:44	213775/213775	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-3430f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/fullcalendar.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/fullcalendar.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:45	269400/269400	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-41c58%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery-jvectormap.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery-jvectormap.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:45	21163/21163	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-52ab%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/nouislider.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/nouislider.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:46	238050/238050	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48ec-3a1e2%22	https://cdnjs.cloudflare.com/ajax/libs/core-js/2.4.1/core.js	C:/Users/Omen/Desktop/template/cdnjs.cloudflare.com/ajax/libs/core-js/2.4.1/core.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:46	5091/5091	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-13e3%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/arrive.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/arrive.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:47	13109/13109	---M-Z	200	added ('OK')	application/javascript	etag:W/%225dbf83bb-3335%22	https://buttons.github.io/buttons.js	C:/Users/Omen/Desktop/template/buttons.github.io/buttons.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:49	40174/40174	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-9cee%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/chartist.min.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/chartist.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:49	16935/16935	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-4227%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-notify.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-notify.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:50	12460/12460	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233601-30ac%22	https://demos.creative-tim.com/material-dashboard-pro/assets/js/material-dashboard.min.js?v=2.1.0	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/js/material-dashboard.minf066.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:50	33222/33222	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233600-81c6%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:51	25403/25403	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d233600-633b%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/jquery.sharrre.js	C:/Users/Omen/Desktop/template/demos.creative-tim.com/material-dashboard-pro/assets/demo/jquery.sharrre.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:53	124999/124999	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2014%20Nov%202019%2012:39:52%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/Omen/Desktop/template/connect.facebook.net/en_US/fbevents.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
13:39:55	31396/31396	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4864-7aa4%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-rtl/3.4.0/css/bootstrap-rtl.css	C:/Users/Omen/Desktop/template/cdnjs.cloudflare.com/ajax/libs/bootstrap-rtl/3.4.0/css/bootstrap-rtl.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html)
